Actual LASK1,Actual LASK2,Actual LASK3,Actual LASK4,Predicted LASK1,Predicted LASK2,Predicted LASK3,Predicted LASK4
5188,5085,5024,4268,5187.497023809524,5074.898538461538,4961.2725,4604.376666666666
4885,5089,5001,5100,4079.3748333333333,5074.866666666666,4997.422833333333,5085.443499999999
5221,4192,5020,5108,5211.783333333333,4610.297166666667,5012.304166666667,5108.15
5184,5033,4993,5109,5183.808333333333,5087.760388888889,4993.431583333333,4828.551333333334
5100,5093,4992,5105,5041.0143333333335,5092.130222222222,4997.017333333333,5109.6646666666675
5164,5092,5032,4165,5162.28619047619,5101.26861904762,5013.627333333333,4480.700297619048
5200,5096,4996,4385,5193.717857142857,5126.139000000001,4969.706666666667,4626.174166666667
5184,5085,5001,5013,5166.873333333333,5083.425833333334,4999.878476190477,4964.099166666666
5193,5088,4521,5136,5197.380809523809,5095.771285714285,4601.4590238095225,5110.41361904762
5197,5088,5005,5108,5170.224771006773,5088.798744200246,4995.090574703074,5102.999775641025
5084,3944,4145,5149,5079.190523809524,3986.5590476190473,4236.892198412699,5142.241238095237
5192,5096,3773,5152,5188.749023809523,5094.541023809524,4570.449833333333,4804.413333333333
5192,5084,4992,5097,5194.083487179487,5082.11761904762,4992.923333333334,5022.615642857143
5185,5020,5000,5109,5193.821083333332,4766.308805555555,5001.267810606061,5110.681797619047
5185,5053,4992,5112,5177.626738095238,5023.632083333333,4944.554642857143,5099.916
5184,5080,4996,5104,5185.547916666666,5087.737,4986.892499999999,5101.471
5205,4680,5000,5097,5193.914484126984,4888.097190476191,5002.523666666667,5101.645833333333
5181,5088,4997,5104,5151.164833333333,5082.738666666668,4993.3525,5105.065119047618
5196,5077,4992,5096,5191.929821428572,5084.011666666667,4980.386035714287,5094.338055555556
5192,5084,4988,5092,5165.270333333333,5067.704000000001,4994.258666666667,5097.761666666667
5177,5088,4997,5104,5180.384499999999,5084.377361111111,4993.5199999999995,5105.4890000000005
5192,5080,5001,4993,5180.416666666666,5084.759666666666,4985.7725,4660.487000000001
4657,5104,4996,5109,4345.860666666667,5102.292666666667,4980.5635,5102.0616666666665
5209,5077,4897,5108,5200.940833333333,5083.763666666667,4890.016833333334,5110.052952380952
5184,5088,5029,4357,5185.126499999999,5086.651249999999,5011.689183982684,4650.659791125541
5204,5101,4065,5148,5199.4395,5103.159166666666,4274.027428571429,5129.050380952381
5112,5012,4920,5012,4125.747857142857,4336.4329761904755,4428.0035,4752.99375
5185,5084,5013,4789,5142.538101731602,5087.2543214285715,4974.460396825397,5042.953468253968
4032,4400,4025,4417,3763.8593095238093,4197.219595238095,4243.281333333333,4459.454738095239
5189,5084,4992,5104,5167.924117216116,5084.072444444444,4940.240611721611,5072.4629920634925
4337,4773,4869,4896,4135.004666666667,4553.403333333334,4824.560833333333,4873.180333333334
5196,5089,4997,5104,5186.725666666667,5087.384166666667,4955.548952380952,5093.710333333333
5192,5081,5004,4841,5184.279333333334,5090.944,4997.323666666666,4899.2225
5201,5101,4133,5144,5168.855,5092.2117499999995,4297.498333333333,5127.118
5188,5101,4777,4372,5188.568345238094,5094.223178571428,4796.014416666667,4383.387773809523
5188,5080,4841,5109,5183.757,5090.248857142858,4752.632392857143,5123.508345238096
5200,5104,4208,5152,5188.472222222222,5091.714452380952,4479.077333333334,5118.62419047619
5193,4989,4997,5112,5220.157142857142,4537.614166666667,5016.633619047619,5109.543
5181,5088,4993,5100,5164.539071428571,5083.4546666666665,4985.8004404761905,4952.226111471861
5221,4209,5017,5104,5219.443,4524.252166666666,5018.219111111111,5110.683095238095
5196,5092,4996,5104,5193.420166666667,5091.734071428572,4993.744642857143,5105.984857142857
5205,4304,5012,5112,5213.018333333333,4238.141666666666,5002.136583333333,5104.313
3141,4976,5008,5108,3207.039,4982.897333333334,4930.570166666667,5130.426666666666
5192,5088,4997,5005,5189.250761904761,5083.088333333333,4997.908666666667,4992.835999999999
5189,5104,4117,5153,5163.212714285713,5089.953095238094,4518.192476190477,5044.003166666666
5189,5072,4985,5097,5191.709307088335,5072.884225813404,4991.107007056669,5102.769812422874
5184,5084,4996,5100,5188.19575,5072.578142857143,4974.485761904762,4979.652666666666
5188,5096,4972,4357,5192.5225,5094.7775,4677.182095238095,4471.665
5200,4597,4992,5109,5158.5633333333335,4587.89,4985.298500000001,5112.196666666667
4685,5101,4992,5112,5035.5925,5086.816166666667,4996.599166666666,5099.409000000001
