Actual LASK1,Actual LASK2,Actual LASK3,Actual LASK4,Predicted LASK1,Predicted LASK2,Predicted LASK3,Predicted LASK4
5025,5088,4996,5101,4946.288166666666,5070.504928571429,4993.449761904762,5100.360166666666
4241,5076,5000,5109,4022.138833333333,5071.033666666667,5000.367166666666,5108.915
5193,5081,4992,5100,5181.06975,5065.760369047619,4991.252166666666,5096.3045
3809,3905,4701,4880,4013.56,4200.1685,4688.7626666666665,4706.67
3776,4641,4961,5108,3727.3998333333334,4527.330833333333,4954.51,4899.2725
5200,5108,4089,5117,5196.123500000001,5094.089166666667,4154.235,5122.7155
5181,5073,4989,5108,5177.905,5076.906666666667,4990.275833333333,5098.312
4613,5077,4992,5096,4043.322166666667,5058.756666666667,4997.0315,5100.049388888888
5188,5081,4988,5092,5187.306666666667,5077.939166666667,4988.57,5090.886428571428
3701,5041,5000,5101,3749.4126666666666,5048.895,5002.4575,5098.1466666666665
5192,5088,4992,5100,5167.377833333333,5078.229,4990.979666666667,5089.663365079365
5088,5077,4988,5100,5011.993333333333,5083.920000000001,4994.531,5095.208833333333
5208,4396,4980,5105,5208.855666666667,4534.722023809523,5000.483333333334,5036.417166666666
5208,4164,4977,5104,5172.470725108225,4181.6755,4962.540000000001,5073.943333333333
5196,5161,4977,5072,5186.62325,5077.496666666667,4982.8279999999995,5085.717333333333
5149,5077,4992,5092,5164.352880952381,5054.7324761904765,4992.5152575757575,5099.058404761905
5189,5092,4988,5092,5190.584897435898,5042.325333333333,4996.063095238095,5004.378833333333
5205,5088,5016,4224,5197.028666666667,5086.629666666667,5023.089166666667,4236.9675
5189,5084,4985,5096,5185.574166666666,5075.065666666666,4971.417083333333,5099.901
5216,4585,4976,5108,5165.233809523809,4689.016785714285,4987.807333333333,5092.049404761905
4505,5088,4996,5109,4200.2283333333335,5069.250000000001,4996.442,5102.6029761904765
5184,5072,4993,5096,5147.989666666666,5064.617666666667,4987.9366666666665,5061.438452380952
5185,5077,4984,5092,5162.01,5033.3133333333335,4977.823333333334,5059.365833333333
5201,5092,5029,4177,5194.52,5085.758749999999,5005.7575,4316.877333333334
5188,5060,4992,5100,5182.231666666667,5067.660499999999,4986.575714285715,5091.134
5188,5085,4992,5097,5179.899166666666,5080.358047619047,4991.873333333333,5098.760166666668
5164,4212,5016,5104,5198.814666666667,4338.662499999999,5004.199166666667,5036.3565
5177,5048,4992,5089,5151.791666666667,5046.225714285715,4991.9595238095235,5103.398833333333
5184,5081,4992,5104,5178.141500000001,5076.892095238096,4990.36,5098.126666666666
5196,5077,5013,4440,5194.024416666667,5076.939023809525,5010.977738095238,4518.9608333333335
3912,4952,4988,5045,4250.69,5005.592333333333,4997.45561904762,5069.379166666667
